
Ser. No.,Fecha,Hora,Flota,Vehículo,Producto,Volumen,Venta Total,Nombre de estación,PPL,Odo,
1,11/03/24   ,03:01:01,PEG Transportes y Servicios Maya,930BLL,Diesel,24.157,736.55,Santa Monica I,30.49,369887.000,
2,11/03/24   ,03:20:44,PEG Transportes y Servicios Maya,518BRX,Diesel,0.317,9.67,Santa Monica I,30.49,0.000,
3,11/03/24   ,04:27:29,PEG Transportes y Servicios Maya,525FSZ,Regular,6.723,213.72,Llanos de la Cruz,31.79,211104.000,
4,11/03/24   ,04:28:35,PEG Transportes y Servicios Maya,525FSZ,Regular,0.132,4.20,Llanos de la Cruz,31.79,211104.000,
5,11/03/24   ,03:27:10,PEG Transportes y Servicios Maya,105BTT,Diesel,14.515,442.56,Santa Monica I,30.49,0.000,
6,11/03/24   ,03:49:39,PEG Transportes y Servicios Maya,233FQK,Regular,2.538,79.92,Santa Monica I,31.49,1766340.000,
7,11/03/24   ,04:54:27,PEG Transportes y Servicios Maya,591FSZ,Regular,6.345,199.80,Siquinala,31.49,0.000,
8,11/03/24   ,04:42:26,PEG Transportes y Servicios Maya,527FSZ,Regular,6.513,205.09,Fraijanes,31.49,168986.000,
9,11/03/24   ,05:09:43,PEG Transportes y Servicios Maya,953BTS,Diesel,8.201,254.15,Siquinala,30.99,0.000,
10,11/03/24   ,04:02:37,PEG Transportes y Servicios Maya,532BRX,Diesel,18.270,557.05,Santa Monica I,30.49,129087.000,
11,11/03/24   ,05:01:55,PEG Transportes y Servicios Maya,956FPG,Regular,2.322,70.10,Morales,30.19,224870.000,
12,11/03/24   ,05:34:04,PEG Transportes y Servicios Maya,526BRX,Diesel,17.612,545.80,Siquinala,30.99,0.000,
13,11/03/24   ,05:39:38,PEG Transportes y Servicios Maya,996BPR,Diesel,13.246,410.49,Siquinala,30.99,0.000,
14,11/03/24   ,05:54:07,PEG Transportes y Servicios Maya,830BPL,Diesel,11.466,349.60,Santa Monica I,30.49,122534.000,
15,11/03/24   ,05:06:33,PEG Transportes y Servicios Maya,614FSZ,Regular,4.167,132.30,Teculutan,31.75,9351989.000,
16,11/03/24   ,05:51:10,PEG Transportes y Servicios Maya,951BTS,Diesel,4.841,150.02,Siquinala,30.99,0.000,
17,11/03/24   ,05:56:54,PEG Transportes y Servicios Maya,951BTS,Diesel,15.949,494.26,Siquinala,30.99,0.000,
18,11/03/24   ,04:59:06,PEG Transportes y Servicios Maya,854BPS,Diesel,8.708,261.15,Los Escudos,29.99,0.000,
19,11/03/24   ,06:14:50,PEG Transportes y Servicios Maya,519BRX,Diesel,29.893,896.49,NW Coban,29.99,0.000,
20,11/03/24   ,05:31:16,PEG Transportes y Servicios Maya,954BTS,Diesel,24.046,741.82,Teculutan,30.85,0.000,
21,11/03/24   ,05:34:17,PEG Transportes y Servicios Maya,954BTS,Diesel,0.488,15.05,Teculutan,30.85,0.000,
22,11/03/24   ,06:29:57,PEG Transportes y Servicios Maya,034BWN,Diesel,39.995,1231.44,Alisos,30.79,0.000,
23,11/03/24   ,05:52:16,PEG Transportes y Servicios Maya,527BRX,Diesel,18.391,567.36,Teculutan,30.85,0.000,
24,11/03/24   ,05:57:35,PEG Transportes y Servicios Maya,957BTS,Diesel,4.761,150.88,Santa Elena,31.69,0.000,
25,11/03/24   ,05:57:41,PEG Transportes y Servicios Maya,025BSS,Diesel,30.697,947.00,Teculutan,30.85,0.000,
